pWave1D,pwFinal,pwFit1,pwFit2,pwFit3,pwFit4,pwFit5,pwFit6,pwi0Fit
16,16,16,16,16,16,16,16,16
10000,238552,238552,238552,238552,238552,238552,238552,238552
27,25.091,27,27,27,27,27,25.091,27
0,0,0,0,0,0,0,0,0
291.858,291.858,291.858,291.858,291.858,291.858,291.858,291.858,291.858
290.514,290.514,290.514,290.514,290.514,290.514,290.514,290.514,290.514
290.499,290.499,290.499,290.499,290.499,290.499,290.499,290.499,290.499
290.445,290.445,290.445,290.445,290.445,290.445,290.445,290.445,290.445
290.414,290.414,290.414,290.414,290.414,290.414,290.414,290.414,290.414
290.423,290.423,290.423,290.423,290.423,290.423,290.423,290.423,290.423
290.41,290.41,290.41,290.41,290.41,290.41,290.41,290.41,290.41
291.772,291.772,291.772,291.772,291.772,291.772,291.772,291.772,291.772
291.814,291.814,291.814,291.814,291.814,291.814,291.814,291.814,291.814
290.458,290.458,290.458,290.458,290.458,290.458,290.458,290.458,290.458
290.44,290.44,290.44,290.44,290.44,290.44,290.44,290.44,290.44
290.434,290.434,290.434,290.434,290.434,290.434,290.434,290.434,290.434
290.406,290.406,290.406,290.406,290.406,290.406,290.406,290.406,290.406
290.498,290.498,290.498,290.498,290.498,290.498,290.498,290.498,290.498
290.522,290.522,290.522,290.522,290.522,290.522,290.522,290.522,290.522
291.905,291.905,291.905,291.905,291.905,291.905,291.905,291.905,291.905
284.682,284.698,284.682,284.682,284.725,284.725,284.725,284.698,284.682
0.277277,0.261666,0.277277,0.277277,0.277277,0.277277,0.277277,0.261666,0.277277
0.0403743,0.0765066,0.0786598,0.0775927,0.084546,0.084546,0.084546,0.0765066,0.0403743
4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06
0,0,0,0,0,0,0,0,0
0.028305,0.028305,0.028305,0.028305,0.028305,0.028305,0.028305,0.028305,0.028305
27,27,27,27,27,27,27,27,27
0,-0.721436,0,-0.221729,-0.229009,-0.229009,-0.229009,-0.721436,0
285.643,285.61,285.643,285.643,285.601,285.601,285.601,285.61,285.643
0.288767,0.318809,0.288767,0.288767,0.288767,0.288767,0.288767,0.318809,0.288767
0.16609,0.181428,0.161398,0.163078,0.172705,0.172705,0.172705,0.181428,0.16609
1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05
0,0,0,0,0,0,0,0,0
0.122905,0.122905,0.122905,0.122905,0.122905,0.122905,0.122905,0.122905,0.122905
27,27,27,27,27,27,27,27,27
0,0.338889,0,-0.00884458,-0.706819,-0.706819,-0.706819,0.338889,0
286.043,286.337,286.043,286.043,286.201,286.201,286.201,286.337,286.043
0.255897,0.224908,0.255897,0.255897,0.255897,0.255897,0.255897,0.224908,0.255897
0.0181083,0.02266,0.024546,0.0239149,0.0296278,0.0296278,0.0296278,0.02266,0.0181083
8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07
0,0,0,0,0,0,0,0,0
0.00566051,0.00566051,0.00566051,0.00566051,0.00566051,0.00566051,0.00566051,0.00566051,0.00566051
27,27,27,27,27,27,27,27,27
0,1.97592,0,0.0444074,0.323112,0.323112,0.323112,1.97592,0
286.683,286.837,286.683,286.683,286.739,286.739,286.739,286.837,286.683
0.272103,0.269261,0.272103,0.272103,0.272103,0.272103,0.272103,0.269261,0.272103
0.0110829,0.0254184,0.0281151,0.0264731,0.0255508,0.0255508,0.0255508,0.0254184,0.0110829
1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06
0,0,0,0,0,0,0,0,0
0.0071411,0.0071411,0.0071411,0.0071411,0.0071411,0.0071411,0.0071411,0.0071411,0.0071411
27,27,27,27,27,27,27,27,27
0,-3.85401,0,-1.70877,-2.80572,-2.80572,-2.80572,-3.85401,0
287.323,287.505,287.323,287.323,287.531,287.531,287.531,287.505,287.323
0.313051,0.253475,0.313051,0.313051,0.313051,0.313051,0.313051,0.253475,0.313051
